Department,dep_url
Computer Science,/static/assets/images/Department_Images/dep_1.jpeg
Mathematics,/static/assets/images/Department_Images/dep_2.jpeg
Statistics,/static/assets/images/Department_Images/dep_3.jpg
Business Management,/static/assets/images/Department_Images/dep_4.jpeg
School of Law,/static/assets/images/Department_Images/dep_5.jpeg
Allied Health Care,/static/assets/images/Department_Images/dep_6.jpeg
Arts and Humanities,/static/assets/images/Department_Images/dep_7.jpeg
Chemistry,/static/assets/images/Department_Images/dep_8.jpeg
Civil Engineering,/static/assets/images/Department_Images/dep_9.jpeg
Electrical and Electronics,/static/assets/images/Department_Images/dep_10.jpeg
Computer Science and Engineering,/static/assets/images/Department_Images/dep_11.jpeg
Economics,/static/assets/images/Department_Images/dep_12.jpeg
Hotel Management,/static/assets/images/Department_Images/dep_13.jpeg
Electronics & Communication,/static/assets/images/Department_Images/dep_14.jpeg
English,/static/assets/images/Department_Images/dep_15.jpeg
Life Sciences,/static/assets/images/Department_Images/dep_16.jpeg
"International Studies, Political Science and History",/static/assets/images/Department_Images/dep_17.jpeg
Media Studies,/static/assets/images/Department_Images/dep_18.jpeg
Mechanical and Automobile Engineering,/static/assets/images/Department_Images/dep_19.jpeg
"Performing Arts, Theatre Studies and Music",/static/assets/images/Department_Images/dep_20.jpeg
Philosophy and Theology,/static/assets/images/Department_Images/dep_21.jpeg
Physics and Electronics,/static/assets/images/Department_Images/dep_22.jpeg
Professional Studies,/static/assets/images/Department_Images/dep_23.jpg
Psychology,/static/assets/images/Department_Images/dep_24.jpeg
Architecture,/static/assets/images/Department_Images/dep_25.jpeg
School of Education,/static/assets/images/Department_Images/dep_26.jpeg
Tourism Management,/static/assets/images/Department_Images/dep_27.jpeg
Sociology and Social Work,/static/assets/images/Department_Images/dep_28.jpeg
Commerce,/static/assets/images/Department_Images/dep_29.png
Vocational Studies,/static/assets/images/Department_Images/dep_30.jpeg
